id,centroid_x,centroid_y,area,time
52,1085,537,19539,2025-12-03_17:30:07
52,1032,519,21279,2025-12-03_17:30:07
52,1009,491,21877,2025-12-03_17:30:07
55,691,537,11627,2025-12-03_17:30:07
56,692,546,16740,2025-12-03_17:30:07
55,704,520,14268,2025-12-03_17:30:07
52,1013,472,18468,2025-12-03_17:30:07
52,1032,461,21420,2025-12-03_17:30:07
52,1024,463,20049,2025-12-03_17:30:08
55,708,515,17595,2025-12-03_17:30:08
55,721,516,13485,2025-12-03_17:30:08
55,738,518,17741,2025-12-03_17:30:08
55,744,524,17135,2025-12-03_17:30:08
52,1058,478,18445,2025-12-03_17:30:08
55,761,526,17442,2025-12-03_17:30:09
52,1079,479,19844,2025-12-03_17:30:09
57,760,521,12080,2025-12-03_17:30:09
52,1094,493,18880,2025-12-03_17:30:09
55,760,531,11700,2025-12-03_17:30:09
52,1080,491,19840,2025-12-03_17:30:09
55,753,538,12324,2025-12-03_17:30:09
57,747,546,16539,2025-12-03_17:30:09
